Facility Name,"Lat, long"
New York City Police Department - 32nd Precinct,"40.81573360901537, -73.94535716562918"
New York City Police Department - 109th Precinct,"40.76231630544898, -73.82728132549775"
New York City Police Department - 79th Precinct,"40.68885327486311, -73.94486367546305"
New York City Police Department - 90th Precinct,"40.70635526624754, -73.950563082209"
New York City Police Department - 84th Precinct,"40.69557453693269, -73.98291153558192"
New York City Police Department 23 Precinct,"40.78911379183072, -73.94705946011882"
New York City Police Department - 48th Precinct,"40.84401664442621, -73.90030777361063"
New York City Police Department - 67th Precinct,"40.64879057007447, -73.95012098220899"
New York City Police Department - 45th Precinct,"40.83076820937624, -73.8272480337295"
New York City Police Department - 70th Precinct,"40.63048553582833, -73.9737414840614"
New York City Police Department - 62nd Precinct,"40.602467708408994, -74.00304429140164"
New York City Police Department,"40.71212293241887, -74.00188633558194"
New York City Police Department - 60th Precinct,"40.57658052887483, -73.97627512149577"
New York City Police Department - 72nd Precinct,"40.65833158221179, -74.00087641779093"
New York Police Department - 24 Precinct,"40.79642990102779, -73.96725637301633"
New York City Police Department - 77th Precinct,"40.67480153555334, -73.93039581719663"
New York City Police Department - 71st Precinct,"40.664606441884985, -73.94782215337293"
New York City Police Department - 63rd Precinct,"40.627972510230755, -73.94152609380633"
New York Police Department - 112 Precinct,"40.72236511477174, -73.85146799996133"
New York Police Department - 100th Precinct,"40.58619368213133, -73.81643538031557"
New York City Police Department - 88th Precinct,"40.69013125997444, -73.96041305147915"
New York City Police Department - 61st Precinct,"40.59412053110457, -73.960600759489"
New York City Police Department - 75th Precinct,"40.67130127155394, -73.88154435518888"
New York City Police Department - 13th Precinct,"40.73691325147892, -73.9828327821704"
New York City Police Department - 66th Precinct,"40.62566386007417, -73.99132290915199"
New York Police Department - 114th Precinct,"40.76943035972902, -73.91524283798839"
New York Police Department - 120th Precinct,"40.644769534997, -74.07753890181617"
New York Police Department - 107th Precinct,"40.730043916278674, -73.81059929996131"
New York City Police Department - 41st Precinct,"40.8161918448854, -73.89562591775223"
New York Police Dept,"40.756265784121965, -73.9865106999613"
NYPD 28th Precinct,"40.80880655179977, -73.9525160557793"
New York City Police Department - 33rd Precinct,"40.840779422986216, -73.93571030299702"
New York City Police Department - 69th Precinct,"40.648569549236356, -73.90506249077066"
New York Police Department - 113th Precinct,"40.679946210094165, -73.77583290856158"
New York City Police Department - 6th Precinct,"40.73397072966521, -74.00542217112492"
New York City Police Department - 30th Precinct,"40.82881125569401, -73.94371868217044"
New York City Police Department - 78th Precinct,"40.680930159771684, -73.97430802820732"
New York City Police Department - 110th Precinct,"40.74518780254062, -73.87003463124302"
New York City Police Department - 40th Precinct,"40.81034496352099, -73.92524243798839"
New York City Police Department - 73rd Precinct,"40.6708226515478, -73.91352359996132"
NYPD Central Park Precinct,"40.783133953597954, -73.96415888217041"
New York City Police Department - 17th Precinct,"40.75676108412954, -73.97078311775223"
New York City Police Department 94th Precinct,"40.72679821632822, -73.95328094658863"
New York Police Department - 111th Precinct,"40.760275947450396, -73.7675943355431"
New York City Police Department - 47th Precinct,"40.88750168613004, -73.8475099177522"
New York City Police Department - 122nd Precinct,"40.574185900687446, -74.10566346867965"
New York City Police Department - 115th Precinct,"40.756759474993906, -73.87548615333402"
New York City Police Department - 81st Precinct,"40.689657781733985, -73.92445479996132"
New York City Police Department - 104th Precinct,"40.70433988368803, -73.89365108217044"
New York City Police Department - 26th Precinct,"40.81475464495138, -73.95638463554312"
New York City Police Department - 106th Precinct,"40.682196236658704, -73.8398703104164"
New York City Police Department - 102nd Precinct,"40.69876462053144, -73.83142494287893"
New York Police Department - 108th Precinct,"40.742957686424866, -73.95469798217043"
New York City Police Department 20th Precinct,"40.78417815364584, -73.97498888217044"
New York City Police Department - 83rd Precinct,"40.698313915606946, -73.9178666177522"
New York City Police Department - 5th Precinct,"40.716165322839345, -73.99733732508803"
New York City Police Department - 7th Precinct,"40.7163351786069, -73.98373459009665"
New York Police Department 34th Precinct,"40.851447304905456, -73.93532357357017"
New York City Police Department - 25th Precinct,"40.80082078480311, -73.94105391775221"
New York Police Department 50th Precinct Station House,"40.883573669651064, -73.90231928217042"
New York City Police Department - 68th Precinct,"40.63896787031292, -74.02267356193424"
New York Police Department - 1st Precinct,"40.720364217867896, -74.00696651775223"
New York City Police Department - 10th Precinct,"40.7427077482557, -73.99864171775221"
New York City Police Department - 105th Precinct,"40.72622449461199, -73.73502890055174"
New York City Police Department - 42nd Precinct,"40.822420747272226, -73.9113365061163"
New York City Police Department - 44th Precinct,"40.837500214635725, -73.9195661177522"
New York City Police Department - 9th Precinct,"40.72644997904172, -73.98785218647056"
NYPD 19th Precinct,"40.76706567856522, -73.96384902205233"
Midtown Precinct South,"40.753820052253786, -73.9949862067067"
Bronx 49 Precinct Police Department,"40.856274857832005, -73.84437671834263"
Midtown Precinct North,"40.76494448978241, -73.98510389996132"
46th Precinct Police Bronx,"40.85403594723101, -73.90020001286169"
New York City Police Department - 43rd Precinct,"40.82300843142918, -73.86990733250744"
NYPD 52nd Precinct,"40.86909518584804, -73.87966451775222"
New York City Police Department,"40.74267750833069, -73.9423433171618"
103rd Precinct,"40.70708324988779, -73.79262079996131"
New York City Police Department,"40.57627893036414, -73.99039565333402"
New York City Police Department,"40.650694692385976, -74.00772515333401"
New York City Police Department Transit District 23,"40.58058631855784, -73.83740833554312"
West New York Police Headquarters,"40.788661938446275, -74.01531879996134"
Port Authority Police,"40.75675954761159, -73.99043659996133"
Police Station,"40.736803089670666, -73.9826636846157"
The City of New York Police Department,"40.760243615817274, -73.76758311775222"
New York Police Dept,"40.755106215895765, -73.97993368217043"
New York City Police Department Police Service Area 7,"40.8206750148932, -73.91585449996131"
New York City Police Department - Police Service Area 2,"40.6687590303561, -73.89828553554312"
New York Police Department - 4th Precinct,"40.72038714927841, -74.00708939996132"
NYPD Police Service Area 4,"40.724756779954205, -73.97816344658864"
New York City Police Department 76th Precinct,"40.683742483014555, -74.00027989996133"
Police Department City Of New York,"40.85411058561858, -73.90021309996132"
NYPD Transit Bureau District 12,"40.841167456261395, -73.87213149996131"
New York City Marshals,"40.86102488572446, -73.89751269996133"
NYPD Citywide Traffic Task Force,"40.74780977608078, -73.99141478891582"
New York Police Department,"40.666360948248204, -73.73455541775223"
Bronx Police Department,"40.82639541480568, -73.9204928662344"
New York State Police,"40.79016924873921, -73.92740762938813"
Police Service Area 6,"40.82438707418211, -73.94049248217041"
NYPD Highway Patrol Unit 1,"40.84850955659858, -73.87033288217043"
NYPD Harbor Unit,"40.80029604453879, -73.92603031589738"
City Of Gotham Police Department Headquarters,"40.70281005025078, -74.01339231775222"
NYPD Transit Bureau District 1,"40.76903057841503, -73.98148334287892"
Nyc Police Department cadet core office,"40.73662850152766, -73.98318168891582"
NYPD Transit District 4,"40.73526228380108, -73.99100253554312"
